ssoc,title,description
11110,Legislator,"Legislator determines, formulates and directs government policies. He/she makes, ratifies, amends or repeals laws, public rules and regulations within a statutory or constitutional framework."
11121,Senior government official,"Senior government official plans, organises and controls the activities of a government department, government administrative agency or intergovernmental organisation. He/she advises political leaders or governing body on important policy questions. He/she makes decisions within his/her broad discretionary power and performs other high-level functions in connection with government administration."
11122,Senior statutory board official,"Senior statutory board official plans, organises and controls the activities of a statutory board or such fields of public administration as may be defined in the empowering legislation."
11140,Senior official of political party organisation,"Senior official of political party organisation determines, formulates and directs the implementation of policies of political-party organisations."
11150,"Senior official of employers', workers' and other economic-interest organisation","Senior official of employers', workers' and other economic-interest organisation determines, formulates and directs the implementation of policies of employers', workers' and other economic-interest organisations."
11160,Senior official of humanitarian and other special-interest organisation,"Senior official of humanitarian and other special-interest organisation determines, formulates and directs the implementation of policies of humanitarian and other special-interest organisations, such as humanitarian or charitable organisations, or sports associations, and represents their organisations and act on their behalf."
11201,Managing director/Chief executive officer,"Managing director/Chief executive officer participates as member of board of directors to formulate and review the policies and plan, direct, coordinate and evaluate the overall activities of enterprises or organisations with the support of other managers."
11202,Company director,Company director participates as a member of one or more boards of directors in formulating policies governing the operations of a company or companies. The board and its members are responsible to the proprietors or shareholders for ensuring that policies formulated are implemented and progressively amended in the light of changing circumstances.
11203,Chief operating officer/General Manager,"Chief operating officer/General manager is the second in command of a company after the chief executive officer. He/she ensures that the daily operations of the company run smoothly and develops company policies, rules and goals."
12111,Budgeting and financial accounting manager (including financial controller),"Budgeting and financial accounting manager (including financial controller) plans, organises and controls the financial operations of an organisation. He/she participates in formulating the financial policy of the organisation. He/she assesses the financial situation of the enterprise, consults the general manager and departmental managers on financial aspects of production, research and other programmes, presents budget proposals to the governing body or board of directors and advises on general financial questions such as the effective use of resources. He/she also controls and coordinates budgetary and accounting activities."
12112,Administration manager,"Administration manager plans, organises and controls the internal administration of an organisation and participates in formulating its administrative policy, such as the organisation's needs for records, information, communication and other common services. He/she oversees the common services and coordinates departmental reporting and record-keeping systems, negotiates with suppliers of business services and other services. He/she may act as secretary to the board of directors or governing body. He/she may also, in non-profit-making organisations, have responsibility for maintaining membership records, ensuring that examination and registration regulations are observed."
12113,Audit manager,"Audit manager oversees a portfolio of audit engagements or the internal audit of an organisation. He/she plans, organises and leads audit engagements. He/she reviews and provides technical expertise to ensure the quality of audit work performed is in compliance with professional standards and requirements. He/she establishes and reviews the internal audit plan, ensuring that internal audit goals and objectives are met."
12121,Personnel/Human resource manager,"Personnel/Human resource manager plans, designs and implements processes related to the human capital of companies. He/she develops programs for recruiting, interviewing, and selecting employees based on the profiles and skills required in the company. He/she manages compensation and development programs for the company's employees comprising trainings, skill assessments and yearly evaluations, promotion, expatriate programs, and general assurances of the well-being of the employees in the workplace."
12122,Industrial relations manager,"Industrial relations manager maintains relations between the management, its employees and all the entities connected with the organisations like customers, unions, governing agencies and stakeholders. He/she plans, organises and controls industrial relations and personnel activities of an organisation and participates in formulating the recruitment, training, wages, safety, welfare and other personnel policies of the organisation. He/she may represent the organisation before industrial arbitration courts or other labour tribunals and may also specialise in industrial relations work and be designated accordingly."
12123,Training manager,"Training manager plans, directs and coordinates the training and development activities of the staff of an organisation. He/she may also design and develop new training modules and supervise all the activities related to the planning and delivery of these programmes."
12131,Policy manager,"Policy manager formulates, develops, implements and evaluates policies to ensure that the strategic objectives of the organisation are met. He/she oversees the production of policy positions for the organisation in relation to policies, legislations and programmes, including in fields such as environmental, ethics, quality, transparency, and sustainability."
12132,Strategic planning manager,"Strategic planning manager plans, directs and coordinates the strategic initiatives of the organisation. He/she ensures consistency in the implementation of the strategic plans. He/she creates content and narration for presenting new business models, and designs strategic roadmaps for innovation and commercial activities. He/she helps to interpret the overall strategic plan and may create a detailed strategic plan for each one of the departments and branches."
12133,Risk management manager,"Risk management manager plans, organises, directs and coordinates the management of risk exposure and compliance policies in the organisation. He/she develops and defines organisational policies, frameworks and strategies related to risks and compliance. He/she establishes risk criteria for compliance and oversees identification, monitoring, measurement and mitigation of operational risks."
12191,Premises and facilities maintenance manager (excluding building security manager),"Premises and facilities maintenance manager (excluding building security manager) plans, directs and coordinates operations and functionalities of facilities and buildings. He/she may oversee multiple facilities and grounds of an organisation."
12192,Landscape manager,"Landscape manager plans, directs and coordinates enhancement and implementation for softscapes and hardscapes. He/she ensures that the softscapes and hardscapes are enhanced or built to specifications. He/she may source for suitable plants that can fit and blend into the landscape."
12193,Cleaning operations manager,"Cleaning operations manager plans, directs and monitors the cleaning operations of the cleaning company or cleaning department. He/she oversees the management of resources on project sites. He/she develops cleaning operational plans and manages service contracts and incidents related to cleaning operations."
12194,Security manager,"Security manager leads and sets strategic directions for the security agency or security department. He/she plans, directs and monitors the security operations. He/she manages the resources of the security agency or security department. He/she may oversee response to incidents, design contingency plans and develop security plans for his/her customers."
12195,Intellectual property manager,"Intellectual property manager manages the organisation's intellectual property (IP) portfolio and identifies commercialisation opportunities that are beneficial to the organisation. He/she assesses risks, reviews IP due diligence activities, monitors IP infringements and coordinates any required prosecution and enforcement actions. He/she may also oversees IP prosecution portfolio."
12199,Other business services and administration managers n.e.c.,This group includes business services and administration managers not elsewhere classified.
12211,Sales manager,"Sales manager plans, directs and coordinates sales operations in an organisation. He/she analyses data, builds sales plans and sets sales targets and goals. He/she leads the development of sales strategies, expands sales channels and network. He/she may drive client relationships by managing sales related customer service."
12212,Business development manager,"Business development manager conceptualises sales strategies and business plans. He/she implements market expansion and new market plans for business growth. He/she prospects, develops relationships with potential customers and formulates new account development strategies. He/she may manage the allocation of business resources, including manpower and internal assets of specific projects."
